nome,doce,informacao,quantidade,valor
Pudim de Leite Condensado,true,"Uma sobremesa clássica e fácil de fazer. Você só precisa de leite condensado, leite, ovos e açúcar para a calda.",1.0,10.0
Mousse de Limão,false,"Uma sobremesa cremosa e cítrica que é perfeita para qualquer ocasião.",1.2,15.34
Docinho de Leite Moça,true,"Um doce simples e fácil de fazer que é perfeito para festas.",2.8,10.8
Brigadeiro Branco com Uva,true,"Uma variação do brigadeiro tradicional que é feita com uvas Itália.",0.1,2.5
Tapioca Cremosa com Banana Caramelada,true,"Uma sobremesa light e deliciosa que é feita com leite de coco, tapioca e banana caramelada.",0.34,10.25
Bem-casado,true,"Um doce tradicional de casamento que é feito com ovos, açúcar e fécula de batata.",0.25,5.60
Mousse de Baunilha com Calda de Frutas Vermelhas,true,"Um mousse cremoso com uma calda de frutas vermelhas que é fácil de fazer.",0.30,13.22
Pudim Prestígio,true,"Um pudim de chocolate com coco ralado que é perfeito para os amantes de chocolate.",1.0,35.00
Torta Twix,true,"Uma torta de chocolate com caramelo e biscoitos Twix que é fácil de fazer.",0.4,12.67
Cheesecake de Morango no Pote,true,"Um cheesecake de morango que é servido em potinhos individuais.",0.5,10.30